log_date,reg,depot,vehicle_type,status,utilised,drops_in,drops_out,job_reference,route,start_time,end_time,drivers_mate
2026-09-17,SA22FEL,Crewe,3.5 Tonne,Out for Delivery,1,3,9,AO327099,197,06:45,14:50,
2026-09-17,SA21BEC,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA23FNN,Crewe,3.5 Tonne,Out for Delivery,1,4,21,AO404748,198,05:00,16:20,Sample Mate 012
2026-09-17,SA21EVW,Crewe,3.5 Tonne,Out for Delivery,1,3,14,AO267550,184,08:30,17:05,Sample Mate 047
2026-09-17,SA24GSA,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA25PMJ,Crewe,3.5 Tonne,Out for Delivery,1,3,13,AO649818,145,07:15,17:05,
2026-09-17,SA23XMW,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA24PZB,Crewe,Hi-Cube,Out for Delivery,1,3,12,AO806527,178,06:00,13:20,
2026-09-17,SA25FSF,Crewe,Hi-Cube,Out for Delivery,1,4,22,AO993499,148,07:00,14:05,Sample Mate 114
2026-09-17,SA25CZS,Crewe,Hi-Cube,Out for Delivery,1,0,11,AO323784,117,06:45,13:05,Sample Mate 029
2026-09-17,SA19MMT,Crewe,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA21ESV,Crewe,3.5 Tonne,Out for Delivery,1,0,16,AO325836,197,05:30,16:50,
2026-09-17,SA20NSO,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA21BXZ,Crewe,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA23UTA,Crewe,3.5 Tonne,Out for Delivery,1,4,8,AO232576,198,08:45,17:50,Sample Mate 046
2026-09-17,SA23COL,Crewe,3.5 Tonne,Out for Delivery,1,0,21,AO818964,138,06:30,13:50,Sample Mate 070
2026-09-17,SA25UXO,Crewe,3.5 Tonne,RELOAD PT 2,1,2,17,AO457203,187,08:45,17:50,Sample Mate 011
2026-09-17,SA20RUO,Crewe,Hi-Cube,Out for Delivery,1,0,12,AO843190,148,05:15,13:05,
2026-09-17,SA24SKP,Crewe,Hi-Cube,Out for Delivery,1,0,17,AO308644,187,06:45,14:20,
2026-09-17,SA19FFM,Crewe,Hi-Cube,Out for Delivery,1,4,20,AO985705,160,08:30,19:20,
2026-09-17,SA25YOG,Crewe,3.5 Tonne,Out for Delivery,1,3,14,AO360562,179,06:45,14:20,Sample Mate 115
2026-09-17,SA22POR,Crewe,3.5 Tonne,Out for Delivery,1,4,15,AO439763,103,06:45,16:05,
2026-09-17,SA23TKP,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA20PKF,Crewe,3.5 Tonne,Out for Delivery,1,1,13,AO762993,162,07:15,16:05,Sample Mate 034
2026-09-17,SA22YRV,Crewe,3.5 Tonne,Out for Delivery,1,1,12,AO570270,191,06:00,16:35,Sample Mate 120
2026-09-17,SA23SXC,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA20AFW,Crewe,3.5 Tonne,Out for Delivery,1,0,14,AO188328,160,07:45,17:50,
2026-09-17,SA25ADF,Crewe,Hi-Cube,Out for Delivery,1,4,22,AO804640,166,06:00,16:50,
2026-09-17,SA24AMJ,Crewe,Hi-Cube,Out for Delivery,1,3,17,AO994398,141,07:15,18:50,
2026-09-17,SA21FFU,Crewe,Hi-Cube,Out for Delivery,1,1,17,AO124434,179,06:00,16:05,
2026-09-17,SA21BFL,Crewe,3.5 Tonne,Out for Delivery,1,4,22,AO447361,116,08:15,19:50,
2026-09-17,SA21ESA,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA24WUV,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA19RJN,Crewe,3.5 Tonne,Out for Delivery,1,3,15,AO901930,180,08:00,15:50,Sample Mate 013
2026-09-17,SA19PLZ,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25EVK,Crewe,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA23UHR,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25UOZ,Crewe,Hi-Cube,Out for Delivery,1,4,16,AO821310,160,08:30,18:50,Sample Mate 016
2026-09-17,SA22ZAP,Crossgreen,Hi-Cube,VOR,0,0,0,,,,,
2026-09-17,SA20ZFK,Crossgreen,Hi-Cube,Out for Delivery,1,2,17,AO843772,167,07:00,14:50,
2026-09-17,SA19USJ,Crossgreen,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA19GOU,Crossgreen,3.5 Tonne,Out for Delivery,1,2,22,AO497810,156,06:45,14:20,Sample Mate 087
2026-09-17,SA25UOT,Crossgreen,3.5 Tonne,Out for Delivery,1,2,16,AO334779,121,08:30,15:20,
2026-09-17,SA20PRE,Crossgreen,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA21AFW,Crossgreen,3.5 Tonne,Out for Delivery,1,1,14,AO816431,193,06:15,16:35,
2026-09-17,SA21JRF,Crossgreen,3.5 Tonne,Out for Delivery,1,1,11,AO996182,150,07:15,18:50,
2026-09-17,SA20VRD,Crossgreen,3.5 Tonne,Out for Delivery,1,2,16,AO995547,167,06:30,17:20,
2026-09-17,SA22AHT,Crossgreen,Hi-Cube,Out for Delivery,1,4,16,AO148067,120,05:00,13:35,Sample Mate 009
2026-09-17,SA23HJE,Crossgreen,Hi-Cube,Out for Delivery,1,3,9,AO252910,138,05:00,16:35,Sample Mate 015
2026-09-17,SA22JOZ,Crossgreen,Hi-Cube,Out for Delivery,1,3,20,AO532494,130,06:15,16:50,
2026-09-17,SA19YDN,Crossgreen,3.5 Tonne,RELOAD PT 2,1,1,12,AO108045,149,07:30,16:20,Sample Mate 098
2026-09-17,SA24MMZ,Crossgreen,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA23ARK,Crossgreen,3.5 Tonne,Out for Delivery,1,3,21,AO388324,136,07:15,17:35,
2026-09-17,SA21XRJ,Stoke,3.5 Tonne,Out for Delivery,1,3,20,AO500823,177,07:00,14:35,Sample Mate 086
2026-09-17,SA23DRC,Stoke,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA23XXA,Stoke,3.5 Tonne,Out for Delivery,1,1,12,AO214177,107,05:00,15:35,Sample Mate 008
2026-09-17,SA19VAW,Stoke,3.5 Tonne,Out for Delivery,1,2,19,AO643268,131,05:30,13:20,
2026-09-17,SA23YNF,Stoke,Hi-Cube,Stood,0,0,0,,,,,
2026-09-17,SA21FDL,Stoke,Hi-Cube,Out for Delivery,1,3,9,AO304349,166,08:15,19:20,
2026-09-17,SA22MHK,Stoke,Hi-Cube,Out for Delivery,1,3,18,AO293666,126,08:00,19:05,Sample Mate 071
2026-09-17,SA25RNW,Stoke,3.5 Tonne,Out for Delivery,1,2,14,AO333767,101,06:45,14:50,Sample Mate 059
2026-09-17,SA25TSY,Stoke,3.5 Tonne,Out for Delivery,1,2,9,AO396850,116,06:45,17:20,
2026-09-17,SA24NPG,Stoke,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA21BRA,Stoke,3.5 Tonne,Out for Delivery,1,1,19,AO193408,162,06:15,16:50,Sample Mate 114
2026-09-17,SA25CSD,Stoke,3.5 Tonne,RELOAD PT 2,1,4,21,AO207345,148,06:00,13:35,
2026-09-17,SA24GWT,Stoke,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA24AMN,Exeter,3.5 Tonne,Out for Delivery,1,3,9,AO776566,173,06:30,13:05,Sample Mate 044
2026-09-17,SA24SMX,Exeter,Hi-Cube,Stood,0,0,0,,,,,
2026-09-17,SA24WMZ,Exeter,Hi-Cube,Out for Delivery,1,4,17,AO958428,135,06:00,13:35,Sample Mate 042
2026-09-17,SA24UFV,Exeter,Hi-Cube,Stood,0,0,0,,,,,
2026-09-17,SA25WDM,Exeter,3.5 Tonne,Out for Delivery,1,2,11,AO627039,169,06:00,15:05,
2026-09-17,SA19DYL,Exeter,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA19OPM,Exeter,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25SMG,Exeter,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA25WWS,Exeter,3.5 Tonne,Out for Delivery,1,3,12,AO330206,101,08:30,19:05,Sample Mate 082
2026-09-17,SA23HNP,Exeter,3.5 Tonne,Out for Delivery,1,3,16,AO127002,107,06:45,13:05,Sample Mate 070
2026-09-17,SA19GFS,Exeter,3.5 Tonne,Out for Delivery,1,4,10,AO571216,176,05:15,16:05,Sample Mate 026
2026-09-17,SA24FJS,Exeter,Hi-Cube,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA22GUR,Coventry,Hi-Cube,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA19YFZ,Coventry,Hi-Cube,Stood,0,0,0,,,,,
2026-09-17,SA21GLC,Coventry,3.5 Tonne,Out for Delivery,1,3,13,AO679801,105,06:30,17:20,Sample Mate 012
2026-09-17,SA24SCS,Coventry,3.5 Tonne,Out for Delivery,1,0,11,AO122102,103,06:30,16:35,Sample Mate 067
2026-09-17,SA21SHH,Coventry,3.5 Tonne,Out for Delivery,1,0,18,AO921311,147,08:45,16:05,Sample Mate 071
