reg,depot,vehicle_type,source_vehicle_type,make,model,ownership,fleet_group,supplier,registration_year,status,hire_lease_start_date,lease_term_months,lease_cost,weekly_hire_charge,odometer_reading,odometer_unit,inspection_due_date,inspection_frequency_weeks,mot_due_date,mot_frequency_weeks,loler_frequency_weeks,service_due_date,service_frequency_weeks,service_cost,tacho_frequency_weeks,payload_kg,fuel,gearbox_type,livery,rm_cover,telematics,telematics_provider,cctv,trailer_tracker,insurance_database,dart_charge_registered,congestion_zone_registered,merseyflow_registered,three_seater,front_tyre_size,back_tyre_size,date_added,tacho_due_date,middle_tyre_size,loler_due_date
SA22FEL,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2022,Active,2022-10-09,0,0,650,213250,M,2026-08-13,12,2027-04-22,52,0,2026-10-15,26,0,0,1100,Diesel,Manual,Blue,0,1,DemoTrack,1,0,1,0,1,1,1,225/65R16C,225/65R16C,2022-10-09,,,
SA21BEC,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,VOR,2021-07-25,0,0,0,236500,M,2026-11-12,12,2026-10-15,52,0,2026-12-31,26,650,0,1100,Diesel,Manual,White / Sample Branding,1,1,DemoTrack,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2021-07-25,,,
SA23FNN,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2023,Active,2023-12-12,60,323,0,72500,M,2026-12-03,12,2027-09-16,52,0,2026-11-12,26,0,0,1100,Diesel,Manual,Silver,1,0,,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2023-12-12,,,
SA21EVW,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-04-08,0,0,0,149000,M,2026-11-26,12,2026-10-29,52,0,2026-12-24,26,0,0,1100,Diesel,Manual,Blue,0,1,SampleConnect,0,0,1,1,1,1,1,225/65R16C,225/65R16C,2021-04-08,,,
SA24GSA,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2024,VOR,2024-07-03,48,238,0,136250,M,2026-12-10,12,2027-08-12,52,0,2026-11-19,26,650,0,1100,Diesel,Manual,Silver,0,1,SampleConnect,0,0,1,1,1,0,1,225/65R16C,225/65R16C,2024-07-03,,,
SA25PMJ,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2025,Active,2025-06-15,0,0,0,72250,M,2026-11-12,12,2026-12-24,52,0,2027-03-04,26,400,0,1100,Diesel,Manual,Green / Sample Branding,0,1,FleetExample,0,0,1,1,0,1,0,225/65R16C,225/65R16C,2025-06-15,,,
SA23XMW,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2023,VOR,2023-10-02,0,0,650,68250,M,2026-12-03,12,2027-01-07,52,0,2026-11-26,26,650,0,1100,Diesel,Manual,Blue,0,1,DemoTrack,0,0,0,1,0,1,1,225/65R16C,225/65R16C,2023-10-02,,,
SA24PZB,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2024,Active,2024-01-22,0,0,650,168750,M,2026-11-19,12,2027-08-26,52,0,2026-10-01,26,0,0,1100,Diesel,Manual,White / Sample Branding,1,1,FleetExample,0,0,1,1,0,0,1,225/65R16C,225/65R16C,2024-01-22,,,
SA25FSF,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2025,Active,2025-09-02,0,0,0,165250,M,2026-11-12,12,2027-06-24,52,0,2027-02-18,26,250,0,1100,Diesel,Manual,Blue,0,1,SampleConnect,1,0,0,1,0,1,1,225/65R16C,225/65R16C,2025-09-02,,,
SA25CZS,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2025,Active,2025-05-02,36,274,0,206500,M,2026-10-08,12,2027-06-10,52,0,2027-03-25,26,0,0,1100,Diesel,Manual,Silver,1,1,DemoTrack,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2025-05-02,,,
SA19MMT,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2019,Active,2019-08-10,24,389,0,200250,M,2026-10-22,12,2027-02-18,52,0,2026-12-10,26,150,0,1100,Diesel,Manual,White / Sample Branding,1,0,,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2019-08-10,,,
SA21ESV,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2021,Active,2021-07-20,24,215,0,197500,M,2026-11-05,12,2027-02-18,52,0,2027-01-14,26,400,0,1100,Diesel,Manual,Blue,0,1,SampleConnect,0,0,1,1,1,0,0,225/65R16C,225/65R16C,2021-07-20,,,
SA20NSO,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2020,VOR,2020-02-10,0,0,0,62500,M,2026-11-26,12,2027-07-22,52,0,2026-11-19,26,150,0,1100,Diesel,Manual,Green / Sample Branding,1,1,DemoTrack,0,0,1,1,1,0,1,225/65R16C,225/65R16C,2020-02-10,,,
SA21BXZ,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-09-19,0,0,0,76750,M,2026-11-19,12,2025-10-02,52,0,2026-12-17,26,250,0,1100,Diesel,Manual,White / Sample Branding,0,1,DemoTrack,0,0,1,1,0,0,1,225/65R16C,225/65R16C,2021-09-19,,,
SA23UTA,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2023,Active,2023-12-03,36,359,0,170250,M,2026-11-19,12,2027-07-22,52,0,2026-11-26,26,250,0,1100,Diesel,Manual,White / Sample Branding,0,1,DemoTrack,0,0,1,1,1,0,1,225/65R16C,225/65R16C,2023-12-03,,,
SA23COL,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2023,Active,2023-10-24,0,0,0,59500,M,2026-12-03,12,2026-11-26,52,0,2026-12-03,26,150,0,1100,Diesel,Manual,Blue,1,0,,1,0,1,1,0,1,1,225/65R16C,225/65R16C,2023-10-24,,,
SA25UXO,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2025,Active,2025-03-09,0,0,0,89500,M,2026-11-12,12,2027-07-01,52,0,2027-02-11,26,250,0,1100,Diesel,Manual,White,1,0,,1,0,1,1,1,0,1,225/65R16C,225/65R16C,2025-03-09,,,
SA20RUO,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2020,Active,2020-06-24,0,0,145,144750,M,2026-12-03,12,2027-04-15,52,0,2027-03-18,26,250,0,1100,Diesel,Manual,Green / Sample Branding,0,1,SampleConnect,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2020-06-24,,,
SA24SKP,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Example Fleet Partners,2024,Active,2024-08-04,0,0,650,78500,M,2026-12-17,12,2027-09-09,52,0,2026-12-31,26,150,0,1100,Diesel,Manual,White,0,0,,0,0,0,0,0,0,1,225/65R16C,225/65R16C,2024-08-04,,,
SA19FFM,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2019,Active,2019-02-15,36,300,0,163250,M,2026-10-08,12,2026-10-15,52,0,2026-09-24,26,400,0,1100,Diesel,Manual,White,0,0,,1,0,1,0,1,1,1,225/65R16C,225/65R16C,2019-02-15,,,
