reg,depot,vehicle_type,vor_date,vor_category,vor_sub_category,vor_details,damage_type,covered_under_rm,repair_site,reported_to_supplier,liability,original_expected_return_date,expected_return_date,eta_revision_count,actual_return_date,status,source_vor_term_days,fraikin_view_number
SA22ECT,Crawley,Tractor Unit,2025-09-24,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Crawley,Body,0,Sample Repair Site 11,1,AO,2025-09-28,2025-10-01,1,2025-10-01,Returned,7,
SA19GHF,Heywood,3.5 Tonne,2025-09-24,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Heywood,Body,0,Sample Repair Site 2,1,AO,2025-10-01,2025-10-01,0,2025-09-27,Returned,3,
SA21VDP,Dundee,18 Tonne,2025-09-25,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Dundee,Body,0,Sample Repair Site 3,1,AO,2025-09-27,2025-09-29,1,2025-09-29,Returned,4,
SA21BZA,Dundee,3.5 Tonne,2025-09-25,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Dundee,Mechanical,0,Sample Repair Site 2,1,Fraikin,2025-09-28,2025-09-29,1,2025-09-29,Returned,4,
SA25ZHN,Basildon,18 Tonne,2025-09-26,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Basildon,Body,1,Sample Repair Site 4,1,AO,2025-09-28,2025-10-02,1,2025-10-02,Returned,6,
SA20ZAG,Yaxley,Tractor Unit,2025-09-26,Legal Maintenance,Inspection,Sample inspection reported at Yaxley,Mechanical,0,Sample Repair Site 12,1,Fraikin,2025-09-27,2025-09-27,0,2025-09-27,Returned,1,
SA24OWT,Heywood,18 Tonne,2025-09-29,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Heywood,Mechanical,1,Sample Repair Site 2,1,AO,2025-10-01,2025-10-04,1,2025-10-04,Returned,5,
SA25FMV,Larkhall,Tractor Unit,2025-09-30,RTC - AO Liable,Major Damage,Sample major damage reported at Larkhall,Body,0,Sample Repair Site 1,0,AO,2025-10-23,2025-10-23,0,2025-10-21,Returned,21,FV100827
SA19MHU,Potters-Bar,Tractor Unit,2025-09-30,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Potters-Bar,Body,0,Sample Repair Site 3,1,AO,2025-10-04,2025-10-04,0,2025-10-03,Returned,3,
SA24TDY,Crewe,18 Tonne,2025-10-01,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Crewe,Mechanical,0,Sample Repair Site 2,1,AO,2025-10-10,2025-10-12,1,2025-10-12,Returned,11,
SA19AZP,Newport,Conventional Trailer,2025-10-01,Legal Maintenance,Inspection,Sample inspection reported at Newport,Mechanical,0,Sample Repair Site 2,1,AO,2025-10-02,2025-10-02,0,2025-10-02,Returned,1,FV100953
SA19KHR,Fareham,Tractor Unit,2025-10-02,Legal Maintenance,Service Only,Sample service only reported at Fareham,Mechanical,0,Sample Repair Site 1,1,AO,2025-10-03,2025-10-03,0,2025-10-03,Returned,1,
SA22XZO,Fareham,Tractor Unit,2025-10-02,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Fareham,Mechanical,0,Sample Repair Site 5,1,AO,2025-10-13,2025-10-15,1,2025-10-15,Returned,13,
SA21PCB,Avonmouth,Tractor Unit,2025-10-03,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Avonmouth,Mechanical,0,Sample Repair Site 12,1,AO,2025-10-14,2025-10-21,2,2025-10-21,Returned,18,
SA23RBN,Newport,Tractor Unit,2025-10-03,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Newport,Mechanical,0,Sample Repair Site 4,1,AO,2025-10-09,2025-10-16,2,2025-10-16,Returned,13,
SA20PKF,Crewe,3.5 Tonne,2025-10-06,Non-Scheduled Maintenance,Clutch,Sample clutch reported at Crewe,Mechanical,0,Sample Repair Site 4,1,Fraikin,2025-10-14,2025-10-31,3,2025-10-31,Returned,25,FV100166
SA20AJK,Exeter,Tractor Unit,2025-10-07,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Exeter,Mechanical,1,Sample Repair Site 12,0,Fraikin,2025-10-17,2025-10-23,1,2025-10-23,Returned,16,
SA24HUO,Dundee,Tractor Unit,2025-10-07,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Dundee,Mechanical,0,Sample Repair Site 2,1,AO,2025-10-13,2025-10-15,1,2025-10-15,Returned,8,
SA23AMU,Avonmouth,Tractor Unit,2025-10-08,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Avonmouth,Body,0,Sample Repair Site 9,1,AO,2025-10-14,2025-10-14,0,2025-10-12,Returned,4,
SA24XSM,Outside HDV Network,Tractor Unit,2025-10-08,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Outside HDV Network,Body,1,Sample Repair Site 11,0,AO,2025-10-13,2025-10-13,0,2025-10-13,Returned,5,
SA19TXF,Newport,Tractor Unit,2025-10-09,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Newport,Mechanical,0,Sample Repair Site 4,1,AO,2025-10-14,2025-10-14,0,2025-10-14,Returned,5,
SA21CUB,Crossgreen,18 Tonne,2025-10-09,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Crossgreen,Mechanical,1,Sample Repair Site 8,1,AO,2025-10-13,2025-10-14,1,2025-10-14,Returned,5,FV100804
